     id     |    tags    | created_on 
------------+------------+------------
 1080018084 | 17         | 1754509980
 1080018085 | 18         | 1754423580
 1080018086 | 19         | 1754337180
 1080018087 | 20         | 1754250780
 1080018088 | 21         | 1754164380
 1080018089 | 22         | 1754077980
 1080018090 | 23         | 1753991580
 1080018091 | 24         | 1753905180
 1080018092 | 25         | 1753818780
 1080018093 | 26         | 1753732380
 1080018094 | 27         | 1753645980
 1080018095 | 28         | 1753559580
 1080018096 | 29         | 1753473180
 1080018097 | 30         | 1753386780
 1080018098 | 31         | 1753300380
 1080018099 | 32         | 1753213980
 1080018100 | 33         | 1753127580
 1080018101 | 34         | 1753041180
 1080018082 | Correct    | 1753014642
 1080018081 | Fffff      | 1753014588
 1080018102 | 35         | 1752954780
 1080018103 | 36         | 1752868380
 1080018104 | 37         | 1752781980
 1080018105 | 38         | 1752695580
 1080018106 | 39         | 1752609180
 1080018107 | 40         | 1752522780
 1080018080 | Q          | 1752448648
 1080018079 | A          | 1752448194
 1080018078 | D          | 1752441922
 1080018108 | 41         | 1752436380
 1080018077 | R          | 1752424423
 1080018076 | Mr         | 1752419998
 1080018075 | M          | 1752419110
 1080018109 | 42         | 1752349980
 1080018110 | 43         | 1752263580
 1080018074 | D          | 1752188212
 1080018111 | 44         | 1752177180
 1080018112 | 45         | 1752090780
 1080018113 | 46         | 1752004380
 1080018114 | 47         | 1751917980
 1080018073 | Hh         | 1751909050
 1080018115 | 48         | 1751831580
 1080018072 | S          | 1751808584
 1080018071 | A          | 1751808215
 1080018116 | 49         | 1751745180
 1080018117 | 50         | 1751658780
 1080018118 | 51         | 1751572380
 1080018119 | 52         | 1751485980
 1080018120 | 53         | 1751399580
 1080018121 | 54         | 1751313180
 1080018122 | 55         | 1751226780
 1080018123 | 56         | 1751140380
 1080018124 | 57         | 1751053980
 1080018070 | As         | 1750968535
 1080018125 | 58         | 1750967580
 1080018069 | Dhdhh      | 1750962933
 1080018126 | 59         | 1750881180
 1080018068 | Ddxrdfffre | 1750794780
 1080018127 | 60         | 1750794780
 1080018083 | 16         | 1750794780
(60 rows)

